ID,Title,URL
1443336759,PAM Authentication failed,https://github.com/jupyterhub/jupyterhub/issues/4203
1440555856,Doc fix,https://github.com/jupyterhub/jupyterhub/pull/4200
1434877718,Unaligned Text Blocks on JupyterHub REST API Page (Mobile View),https://github.com/jupyterhub/jupyterhub/issues/4197
1415763545,404 Error when try to "edit this page" on JupyterHub home page,https://github.com/jupyterhub/jupyterhub/issues/4138
1407605355,I corrected errors and made an update to api-only.md,https://github.com/jupyterhub/jupyterhub/pull/4108
1159426778,Update JupyterHub REST API permission examples with jupyterhub-idle-culler,https://github.com/jupyterhub/jupyterhub/issues/3814
1146323927,Illustrate create() classmethod idea,https://github.com/jupyterhub/jupyterhub/pull/3801
1076675742,Unify the documentation for idle-culler,https://github.com/jupyterhub/jupyterhub/issues/3710
1054851041,More detailed docs on direct network interactions,https://github.com/jupyterhub/jupyterhub/issues/3684
772816773,Documentation of jupyterhub.dbutil and alembic revisions,https://github.com/jupyterhub/jupyterhub/issues/3313
654997360,Missing HTTP security headers,https://github.com/jupyterhub/jupyterhub/issues/3113
636577223,Add a documentation section describing the structure of this repository,https://github.com/jupyterhub/jupyterhub/issues/3080
539543910,Auto-generate docs for telemetry events,https://github.com/jupyterhub/jupyterhub/issues/2855
491054684,Jupyter(Hub) conceptual intro,https://github.com/jupyterhub/jupyterhub/pull/2726
450626923,Include the instruction `WorkingDirectory=/etc/jupyterhub` in system service Wiki,https://github.com/jupyterhub/jupyterhub/issues/2593
423296688,Include Debian package in documentation ? ,https://github.com/jupyterhub/jupyterhub/issues/2481
357716824,Docs: Unclear / confusing DB upgrade instructions,https://github.com/jupyterhub/jupyterhub/issues/2134
343059699,Docs: Missing a chapter on monitoring / observability,https://github.com/jupyterhub/jupyterhub/issues/2049
248169392,Customize DockerHub documentation for JupyterHub,https://github.com/jupyterhub/jupyterhub/issues/1310
